  0.14123742E-01  0.39648293E-09  0.00000000E+00  0.10000000E+01  0.33006085E-09  0.72347728E-10  0.32075620E-07  0.32887411E-19  0.32075620E-07  0.18907372E-18 -0.19754902E-07
  0.28247483E-01  0.54096410E-09  0.00000000E+00  0.10000000E+01  0.45033992E-09  0.98712297E-10  0.12348953E-07  0.61224098E-19  0.12348953E-07  0.55369835E-19 -0.74153970E-08
  0.42371225E-01  0.73810926E-09  0.00000000E+00  0.10000000E+01  0.61448855E-09  0.13469266E-09  0.16852772E-07  0.11399026E-18  0.16852772E-07  0.10311452E-18 -0.10119951E-07
  0.56494966E-01  0.10070741E-08  0.00000000E+00  0.10000000E+01  0.83834984E-09  0.18376227E-09  0.22984061E-07  0.21217421E-18  0.22984061E-07  0.19181110E-18 -0.13801537E-07
  0.70618708E-01  0.13740545E-08  0.00000000E+00  0.10000000E+01  0.11438585E-08  0.25072822E-09  0.31366307E-07  0.39499020E-18  0.31366307E-07  0.35722955E-18 -0.18835091E-07
  0.84742449E-01  0.18747863E-08  0.00000000E+00  0.10000000E+01  0.15607512E-08  0.34210874E-09  0.42801703E-07  0.73537390E-18  0.42801703E-07  0.66514896E-18 -0.25701998E-07
  0.98866191E-01  0.25579825E-08  0.00000000E+00  0.10000000E+01  0.21294835E-08  0.46677215E-09  0.58391444E-07  0.13689568E-17  0.58391444E-07  0.12379419E-17 -0.35063309E-07
  0.11298993E+00  0.34901218E-08  0.00000000E+00  0.10000000E+01  0.29054289E-08  0.63685583E-09  0.79666100E-07  0.25483680E-17  0.79666100E-07  0.23044223E-17 -0.47838413E-07
  0.12711367E+00  0.47619770E-08  0.00000000E+00  0.10000000E+01  0.39642990E-08  0.86895439E-09  0.10871279E-06  0.47443186E-17  0.10871279E-06  0.42910381E-17 -0.65280867E-07
  0.14123742E+00  0.64972773E-08  0.00000000E+00  0.10000000E+01  0.54088328E-08  0.11855895E-08  0.14830970E-06  0.88317872E-17  0.14830970E-06  0.79863673E-17 -0.89057986E-07
  0.15536116E+00  0.88649421E-08  0.00000000E+00  0.10000000E+01  0.73798808E-08  0.16176334E-08  0.20236594E-06  0.16441449E-16  0.20236594E-06  0.14869102E-16 -0.12151829E-06
  0.16948490E+00  0.12095432E-07  0.00000000E+00  0.10000000E+01  0.10069255E-07  0.22071305E-08  0.27611562E-06  0.30608068E-16  0.27611562E-06  0.27681352E-16 -0.16580416E-06
  0.18360864E+00  0.16503125E-07  0.00000000E+00  0.10000000E+01  0.13738535E-07  0.30114187E-08  0.37672256E-06  0.56979965E-16  0.37672256E-06  0.51528894E-16 -0.22621717E-06
  0.19773238E+00  0.22517032E-07  0.00000000E+00  0.10000000E+01  0.18745013E-07  0.41088140E-08  0.51401134E-06  0.10607495E-15  0.51401134E-06  0.95929633E-16 -0.30865753E-06
  0.21185612E+00  0.30722473E-07  0.00000000E+00  0.10000000E+01  0.25575902E-07  0.56061108E-08  0.70132216E-06  0.19747096E-15  0.70132216E-06  0.17858382E-15 -0.42113537E-06
  0.22597986E+00  0.41918053E-07  0.00000000E+00  0.10000000E+01  0.34896000E-07  0.76490302E-08  0.95688763E-06  0.36761450E-15  0.95688763E-06  0.33245221E-15 -0.57459924E-06
  0.24010361E+00  0.57193432E-07  0.00000000E+00  0.10000000E+01  0.47612473E-07  0.10436418E-07  0.13055898E-05  0.68435714E-15  0.13055898E-05  0.61890053E-15 -0.78399066E-06
  0.25422735E+00  0.78035301E-07  0.00000000E+00  0.10000000E+01  0.64962946E-07  0.14239556E-07  0.17813601E-05  0.12740097E-14  0.17813601E-05  0.11521546E-14 -0.10696849E-05
  0.26835109E+00  0.10647217E-06  0.00000000E+00  0.10000000E+01  0.88636136E-07  0.19428601E-07  0.24305086E-05  0.23717175E-14  0.24305086E-05  0.21448724E-14 -0.14594906E-05
  0.28247483E+00  0.14527172E-06  0.00000000E+00  0.10000000E+01  0.12093604E-06  0.26508579E-07  0.33162068E-05  0.44152245E-14  0.33162068E-05  0.39929179E-14 -0.19913414E-05
  0.29659857E+00  0.19821024E-06  0.00000000E+00  0.10000000E+01  0.16500642E-06  0.36168588E-07  0.45246727E-05  0.82194543E-14  0.45246727E-05  0.74332951E-14 -0.27170105E-05
  0.31072231E+00  0.27044008E-06  0.00000000E+00  0.10000000E+01  0.22513639E-06  0.49348780E-07  0.61734998E-05  0.15301455E-13  0.61734998E-05  0.13837896E-13 -0.37071107E-05
  0.32484605E+00  0.36899121E-06  0.00000000E+00  0.10000000E+01  0.30717839E-06  0.67331979E-07  0.84231905E-05  0.28485421E-13  0.84231905E-05  0.25760867E-13 -0.50580225E-05
  0.33896980E+00  0.50345536E-06  0.00000000E+00  0.10000000E+01  0.41911699E-06  0.91868369E-07  0.11492648E-04  0.53028811E-13  0.11492648E-04  0.47956557E-13 -0.69011933E-05
  0.35309354E+00  0.68691963E-06  0.00000000E+00  0.10000000E+01  0.57184792E-06  0.12534623E-06  0.15680767E-04  0.98719379E-13  0.15680767E-04  0.89277490E-13 -0.94161089E-05
  0.36721728E+00  0.93724010E-06  0.00000000E+00  0.10000000E+01  0.78023498E-06  0.17102364E-06  0.21394945E-04  0.18377743E-12  0.21394945E-04  0.16619950E-12 -0.12847402E-04
  0.38134102E+00  0.12787798E-05  0.00000000E+00  0.10000000E+01  0.10645603E-05  0.23334633E-06  0.29191466E-04  0.34212266E-12  0.29191466E-04  0.30939930E-12 -0.17529116E-04
  0.39546476E+00  0.17447800E-05  0.00000000E+00  0.10000000E+01  0.14524967E-05  0.31838008E-06  0.39829148E-04  0.63690060E-12  0.39829148E-04  0.57598284E-12 -0.23916914E-04
  0.40958850E+00  0.23805950E-05  0.00000000E+00  0.10000000E+01  0.19818001E-05  0.43440075E-06  0.54343187E-04  0.11856623E-11  0.54343187E-04  0.10722548E-11 -0.32632414E-04
  0.42371225E+00  0.32481070E-05  0.00000000E+00  0.10000000E+01  0.27039850E-05  0.59270013E-06  0.74146160E-04  0.22072419E-11  0.74146160E-04  0.19961160E-11 -0.44523852E-04
  0.43783599E+00  0.44317480E-05  0.00000000E+00  0.10000000E+01  0.36893435E-05  0.80868583E-06  0.10116603E-03  0.41090322E-11  0.10116603E-03  0.37160179E-11 -0.60748955E-04
  0.45195973E+00  0.60467179E-05  0.00000000E+00  0.10000000E+01  0.50337719E-05  0.11033779E-05  0.13803150E-03  0.76494190E-11  0.13803150E-03  0.69177549E-11 -0.82886213E-04
  0.46608347E+00  0.82501954E-05  0.00000000E+00  0.10000000E+01  0.68681179E-05  0.15054575E-05  0.18833101E-03  0.14240226E-10  0.18833101E-03  0.12878135E-10 -0.11309044E-03
  0.48020721E+00  0.11256635E-04  0.00000000E+00  0.10000000E+01  0.93709072E-05  0.20540566E-05  0.25695965E-03  0.26509694E-10  0.25695965E-03  0.23973974E-10 -0.15430108E-03
  0.49433095E+00  0.15358639E-04  0.00000000E+00  0.10000000E+01  0.19639612E-05  0.79914428E-06 -0.55014299E-03  0.40126407E-11 -0.55014299E-03 -0.15148333E-09  0.36533741E-03
